video_id,group,is_viral_proxy,acct_uploader_len,acct_uploader_digits_ratio,acct_creator_verified,acct_creator_follower_log,acct_creator_posts_log,txt_title_len_chars,txt_title_len_words,txt_title_has_question,txt_title_has_exclaim,txt_title_has_hashtag,txt_title_has_mention,txt_title_has_url,len_duration_s,len_bucket
7551930941900360981,top,1,0,0.0,0,,,30,6,1,0,0,0,0,5,very_short
7552180816277769486,top,1,0,0.0,0,,,72,13,0,0,0,1,0,39,long
7552317372590214431,normal,0,0,0.0,0,,,72,10,0,1,1,1,0,56,long
7552319522443709716,top,1,0,0.0,0,,,26,6,0,0,0,0,0,15,short
7552328634359368981,top,1,0,0.0,0,,,13,3,0,0,0,0,0,13,short
7552333719219031314,top,1,0,0.0,0,,,10,3,1,0,0,0,0,15,short
7552941212647361800,top,1,0,0.0,0,,,23,5,0,0,0,0,0,8,short
7552987068071267591,top,1,0,0.0,0,,,68,8,0,0,1,1,0,47,long
7553295954502225166,normal,0,0,0.0,0,,,29,6,0,0,0,0,0,12,short
7553396193309560071,top,1,0,0.0,0,,,25,6,0,0,0,0,0,7,short
7553422683011091743,normal,0,0,0.0,0,,,57,7,0,0,1,1,0,20,mid
7553427159684156690,top,1,0,0.0,0,,,23,3,0,0,0,0,0,13,short
7553438363085245703,top,1,0,0.0,0,,,33,7,0,0,0,0,0,7,short
7553465778972937479,top,1,0,0.0,0,,,15,3,0,0,0,0,0,10,short
7553693101458541837,normal,0,0,0.0,0,,,72,13,0,0,0,0,0,30,mid
7553724721108389133,top,1,0,0.0,0,,,72,10,0,0,1,1,0,56,long
7553827710083009799,top,1,0,0.0,0,,,64,7,0,0,0,1,0,15,short
7554580140345347359,normal,0,0,0.0,0,,,8,1,0,0,0,0,0,91,very_long
7554767993666915615,top,1,0,0.0,0,,,20,4,0,0,0,0,0,14,short
7554814344748354830,top,1,0,0.0,0,,,33,3,0,0,1,0,0,11,short
7554865877619969294,top,1,0,0.0,0,,,22,4,0,0,0,1,0,6,very_short
7555647477790035208,top,1,0,0.0,0,,,13,2,0,0,0,1,0,6,very_short
7555904765448768781,normal,0,0,0.0,0,,,18,5,0,0,0,0,0,11,short
7556001068405050638,top,1,0,0.0,0,,,72,12,0,0,0,1,0,248,very_long
7556023299734605111,top,1,0,0.0,0,,,28,5,0,0,0,0,0,7,short
7556096007285591351,top,1,0,0.0,0,,,29,5,0,0,1,1,0,11,short
7556358877843868941,top,1,0,0.0,0,,,8,1,0,0,0,1,0,6,very_short
