video_id,schnitt_frequenz,durchschnittliche_bewegung,anzahl_frames,video_dauer_sek,ist_person_prominent,ist_tier_sichtbar,avg_objekte_pro_frame,avg_gesichter_pro_frame,dominante_emotion,ist_text_eingeblendet,text_sentiment_compound,video_kategorie
top_99_likes_331300_id_7520613613476826390,0.0,4.1995244,56,56.0,1,0,3.8,1.2,fear,1,0.0,Vlog
top_44_likes_778900_id_7552333719219031314,0.2,6.7834473,15,15.0,1,0,3.0,1.2,sad,0,0.0,Vlog
top_41_likes_869200_id_7527278440291126550,0.0,6.1491895,38,38.0,1,0,2.4,6.0,sad,1,0.0,Unboxing
top_85_likes_401500_id_7530273378234649878,0.0,2.9041142,45,45.0,1,0,4.0,1.2,sad,0,0.0,Prank
top_84_likes_409900_id_7524695285293993238,0.0625,2.5482025,16,16.0,1,0,3.0,1.4,neutral,1,0.0,Vlog
normal_72_likes_56500_id_7559395696504245517,0.3,4.752374,30,30.0,1,0,5.8,2.6,sad,0,0.0,Vlog
normal_89_likes_87600_id_7236485370542624042,0.35,6.0644374,20,20.0,1,0,4.4,2.2,sad,1,0.0,Vlog
normal_38_likes_52700_id_7396801365420461358,0.0625,8.258968,16,16.0,0,1,1.2,1.0,sad,1,0.0,Reise
normal_92_likes_68900_id_7481987417357012267,0.2,6.885831,15,15.0,1,0,2.2,1.2,fear,0,0.0,Vlog
normal_49_likes_11600_id_7558253309941927223,0.2727272727272727,3.3349338,11,11.0,1,0,3.4,1.8,neutral,0,0.0,Musik
top_95_likes_367000_id_7547911100520467725,0.0,4.43201,96,96.0,1,0,3.2,1.6,happy,1,0.0,Vlog
normal_84_likes_34600_id_7517661384499301687,0.1860465116279069,3.4469867,43,43.0,1,0,3.2,1.4,sad,1,0.0,Gaming
top_30_likes_986000_id_7551930941900360981,0.1666666666666666,5.895808,6,6.0,1,0,2.0,1.8,happy,1,0.0,Vlog
normal_82_likes_40900_id_7561859064007773453,0.0,4.243449,95,95.0,1,0,3.0,1.4,fear,1,0.8316,Comedy
normal_85_likes_24000_id_7486292240898411822,0.0,3.14455,48,48.0,1,0,2.0,1.0,neutral,1,0.0,Vlog
normal_97_likes_76300_id_7563467582280420616,0.0,5.516214,8,8.0,1,0,1.8,1.0,neutral,0,0.0,Fashion
