video_id,group,is_viral_proxy,txt_title_has_mention,txt_title_has_question,txt_title_has_hashtag
7541499742363110663,top,1,1,0,1
7541623233842269470,normal,0,0,0,1
7542236120256482574,top,1,0,0,0
7542648831586880823,top,1,0,0,0
7543753322679864589,top,1,1,0,0
7544374389890927886,normal,0,0,0,0
7544520710744558903,top,1,0,0,0
7545647280955690253,top,1,1,0,0
7545914679911107854,normal,0,1,0,0
7546069423900200247,top,1,1,0,0
7546245126356503821,normal,0,1,0,1
7546373233260449038,normal,0,0,0,0
7546649356707876109,top,1,0,0,0
7546779048593181965,normal,0,0,0,0
7546980162093534478,top,1,0,0,1
7547911100520467725,top,1,1,0,0
7548194770137500941,top,1,1,0,0
7548522029700353293,normal,0,0,0,0
7548598130665622804,top,1,1,0,0
7548837577323711758,normal,0,0,0,0
7549938079100931341,normal,0,0,0,0
7550956666187975991,top,1,1,0,1
7551538774350515511,top,1,1,0,0
7551785289518288183,normal,0,0,0,0
7551930941900360981,top,1,0,1,0
7552180816277769486,top,1,1,0,0
7552317372590214431,normal,0,1,0,1
7552319522443709716,top,1,0,0,0
7552328634359368981,top,1,0,0,0
7552333719219031314,top,1,0,1,0
7552941212647361800,top,1,0,0,0
7552987068071267591,top,1,1,0,1
7553295954502225166,normal,0,0,0,0
7553396193309560071,top,1,0,0,0
7553422683011091743,normal,0,1,0,1
7553427159684156690,top,1,0,0,0
7553438363085245703,top,1,0,0,0
7553465778972937479,top,1,0,0,0
7553693101458541837,normal,0,0,0,0
7553724721108389133,top,1,1,0,1
7553827710083009799,top,1,1,0,0
7554580140345347359,normal,0,0,0,0
7554767993666915615,top,1,0,0,0
7554814344748354830,top,1,0,0,1
7554865877619969294,top,1,1,0,0
7555647477790035208,top,1,1,0,0
7555904765448768781,normal,0,0,0,0
7556001068405050638,top,1,1,0,0
7556023299734605111,top,1,0,0,0
7556096007285591351,top,1,1,0,1
7556358877843868941,top,1,1,0,0
7556493693121744142,normal,0,1,0,1
7556592560974646541,normal,0,0,0,0
7556652844523310367,normal,0,1,0,0
7556665618670406925,normal,0,0,1,0
7556690079058529567,normal,0,1,0,0
7556996890223463735,top,1,1,0,0
7557068031394991415,normal,0,0,1,0
7557131004574436622,normal,0,0,1,1
7557534743001074974,normal,0,0,0,0
7557540715673373966,normal,0,0,0,1
7558207954617453832,normal,0,0,0,0
7558248534412152077,normal,0,1,1,0
7558253309941927223,normal,0,0,0,1
7558622926065519885,top,1,1,0,1
7558690687093460279,normal,0,0,0,1
7558847527311740174,normal,0,0,0,0
7558891371189325087,normal,0,1,0,0
7558916935388335374,normal,0,0,0,0
7559227794656398605,normal,0,0,0,0
7559378658817854775,top,1,1,0,0
7559395696504245517,normal,0,0,0,1
7559684939684400414,normal,0,0,0,0
7559969376590515470,normal,0,0,0,0
7560098104066805006,normal,0,1,0,0
7560100504492150030,top,1,1,0,0
7560113050100043026,top,1,0,0,0
7560114759442484487,normal,0,0,0,0
7560117671044451598,normal,0,1,0,0
7560178872621288718,top,1,0,0,1
7561038181563419959,top,1,0,0,0
7561159008074124558,top,1,1,0,0
7561200888036003103,normal,0,0,0,1
7561213627798277384,normal,0,0,0,0
7561418302761766166,top,1,0,0,1
7561456867231206711,normal,0,1,0,1
7561459495809846542,top,1,1,0,0
7561859064007773453,normal,0,0,0,1
7562270156576148750,top,1,1,0,0
7562334301166013718,normal,0,0,0,0
7562335351113649430,normal,0,0,0,1
7562727779981135159,top,1,0,0,0
7562737445322706184,top,1,1,0,0
7563467582280420616,normal,0,0,1,0
7563719605663862029,normal,0,1,0,0
7564088602234309918,normal,0,1,0,0
7564143939821784350,normal,0,0,0,0
7564156976251325703,normal,0,0,0,0
7564181866035678519,normal,0,0,0,0
7564186910306913550,normal,0,1,0,0
