group,is_viral_proxy,txt_title_has_mention,txt_title_has_question,txt_title_has_hashtag,bpm,rms_mean,rms_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,speech_ratio,chroma_var_0,chroma_var_1,chroma_var_2,chroma_var_3,chroma_var_4,chroma_var_5,chroma_var_6,chroma_var_7,chroma_var_8,chroma_var_9,chroma_var_10,chroma_var_11,schnitt_frequenz,durchschnittliche_bewegung,anzahl_frames,video_dauer_sek,ist_person_prominent,ist_tier_sichtbar,avg_objekte_pro_frame,avg_gesichter_pro_frame,dominante_emotion,ist_text_eingeblendet,text_sentiment_compound,video_kategorie,is_viral
top,1,0,0,0,132.51201923076923,0.2180453836917877,0.0611026398837566,2472.701421997773,1214.3064212243555,3180.0803011073426,711.8680761823231,0.9787234042553192,0.0811708843531826,0.1068056844044783,0.0700011480162405,0.1064149117173241,0.0747255610500172,0.1080703609145437,0.0705374233712159,0.0548765584926341,0.0838588795347839,0.062432022549762,0.0833411936396589,0.068451992378431,0.0,4.7846456,8,8.0,1,0,11.0,9.0,happy,1,0.0,Prank,1
normal,0,1,0,1,93.9630681818182,0.027269585058093,0.0373704396188259,3200.6945956342433,1618.430595615324,3284.439339362083,1088.1450941475532,0.8928283642224013,0.1182992880390868,0.1123696957451143,0.1042504823352461,0.1079063938725354,0.0919807903565684,0.0977729780680084,0.1006706266668638,0.0984510623482552,0.1012369680205363,0.1115141999373204,0.1174051171267401,0.1160178702387543,0.0714285714285714,6.883583,112,112.0,1,0,2.2,1.0,fear,1,0.0,Unboxing,0
top,1,1,0,0,101.33272058823528,0.1699626445770263,0.0685787498950958,3073.12571879625,1110.2440094230324,3431.6013948270847,563.4619969425547,0.9936708860759492,0.0930675023967151,0.0796385454795661,0.0709875917772743,0.0920310565872376,0.0688822547332391,0.0781783087909904,0.0497756933585194,0.0651955214754799,0.0886286199713368,0.0599097979272334,0.0845922557317459,0.058913299679701,0.0666666666666666,4.554646,15,15.0,1,0,2.0,1.6,happy,1,0.0,Fashion,1
top,1,0,0,0,156.60511363636363,0.086026407778263,0.0639324784278869,4108.832599454786,2003.8193153892537,3743.577553286609,793.7368234413511,0.9903225806451612,0.1023934186200703,0.1020267219601536,0.0984949062795825,0.1065841997779494,0.1016214436791982,0.0923850076635054,0.1021616564378261,0.1121040589614897,0.1097988600170715,0.0970542505244999,0.098716333390429,0.1055062346813323,0.0,6.0923877,10,10.0,1,0,1.0,1.0,neutral,1,0.0,Tanz,1
top,1,0,0,0,103.359375,0.1012005880475044,0.0715017542243003,2263.005276869728,1635.3156429780047,2735.2850518388545,825.2514086735805,0.9564356435643564,0.1162422158935862,0.1121160223463303,0.0995173124451126,0.1122570049769793,0.0761933132389335,0.0888743623339366,0.0687187155718609,0.0787909279772218,0.0957298334785914,0.1200779307827165,0.1167497283698694,0.1127096028051391,0.0,2.9872634,16,16.0,1,0,1.4,1.2,neutral,1,0.296,Fashion,1
normal,0,0,0,0,86.1328125,0.032749205827713,0.0081993779167532,2496.856015894842,1016.3379762068632,3125.832538998387,763.7101931325315,0.994,0.0408836187408073,0.0966286399026149,0.0619342007523495,0.1062645109596393,0.043422380231292,0.0892860577723555,0.1101568999141579,0.0586630036071289,0.0691630607251708,0.0440346480198062,0.0680206579513515,0.1179207654557736,0.2,6.885831,15,15.0,1,0,2.2,1.2,fear,0,0.0,Fashion,0
normal,0,0,0,1,87.5926906779661,0.0224336870014667,0.0225102994590997,3184.436684183531,1451.1713040647437,3595.7056028443085,750.1648955130621,0.9669247009148488,0.0904209469342583,0.0846223198246499,0.0875486909517727,0.0930207370464694,0.0855576421820071,0.0932158085763562,0.0922058020649394,0.09640379523039,0.0877981393805339,0.0886867725014276,0.0814608753675707,0.08461254225107,0.0222222222222222,6.19085,45,45.0,1,0,1.8,1.2,fear,1,-0.6408,Gaming,0
normal,0,0,0,1,139.6748310810811,0.058852195739746,0.0637159720063209,3312.1653723205177,1925.4182733511257,3204.7509411731025,868.8895155793339,0.9693548387096774,0.0948323218791304,0.0943368844336622,0.0983472384533085,0.1045956651433888,0.1020411805207605,0.1062740709285081,0.0979093852915616,0.1135077915704618,0.0978113543880316,0.1083794914607638,0.1134325205975424,0.1049440247468634,0.15,2.2640996,20,20.0,1,0,1.0,1.2,happy,0,0.0,Prank,0
normal,0,0,0,0,86.1328125,0.0070774564519524,0.0104701220989227,3261.6363784144683,1920.98590204863,3572.271587610652,1380.5938310427775,0.8836772983114447,0.0835265763184076,0.0782891972646942,0.0741664036152819,0.0733049624494879,0.0595269202411873,0.0788975176812639,0.0825289468577878,0.0950439458147736,0.0746078907313802,0.0813932740841645,0.0947342322515911,0.1058954712927947,0.0,4.328274,17,17.0,1,0,2.0,1.0,neutral,0,0.0,Tier,0
normal,0,1,0,0,103.359375,0.0151537870988249,0.0155561147257685,3407.3687049811306,1783.326735314767,3421.286822722172,1097.145573176282,0.9557291666666666,0.0828217978597639,0.0891271193346554,0.0894665428369833,0.0906568115968436,0.0723296288062027,0.067674500338306,0.0740186104690454,0.0934624284135197,0.0870135630871526,0.0913938386196222,0.0745181256267733,0.0740670970140038,0.0,3.14455,48,48.0,1,0,2.0,1.0,neutral,1,0.0,Unboxing,0
top,1,1,0,1,95.703125,0.13414366543293,0.1026618778705596,2745.7445572519573,1702.6394386682591,3164.2809982188646,869.105103832224,0.9772036474164134,0.1227475802367204,0.1043296664377014,0.0929777836181488,0.1054171938325426,0.1254020456876082,0.102819815625871,0.0812949726514879,0.0795167171846758,0.0907347785208409,0.1028698906335444,0.1222585055086598,0.1186360481822008,0.15,3.556495,20,20.0,1,0,4.6,1.0,neutral,1,0.0,Fashion,1
top,1,1,0,1,126.04801829268293,0.2175258994102478,0.1731459647417068,1722.6617316673146,1426.9063869314643,2499.0457054667145,1350.6114946258822,0.8807947019867549,0.1360473245269007,0.1274596676441032,0.1300977564046339,0.1127526985704245,0.0995184460840054,0.1122787618024121,0.084037184526176,0.1134747241572281,0.0824984589012047,0.1123332627015921,0.0917889432129201,0.1120740237282865,0.3088235294117647,4.5627675,68,68.0,0,0,0.6,1.0,sad,1,0.0,Fashion,1
top,1,0,0,0,139.6748310810811,0.0154494913294911,0.0217852927744388,3079.431764078411,1609.2086014045872,2825.4758704134897,1350.623961497164,0.9422249539028889,0.1062875105182035,0.0939678511198498,0.0930688171256421,0.1148730647065312,0.0981362502817211,0.1026403613903125,0.0993807414029516,0.0988737478384454,0.1122132172363431,0.1061111078206395,0.0888386911774734,0.0977268727867999,0.0,4.264327,51,51.0,1,0,4.2,1.2,neutral,1,0.0,Prank,1
normal,0,1,0,1,77.1338619402985,0.1116148233413696,0.1569624990224838,2579.916907153889,1696.808422690484,2633.615800500772,1234.4805097610804,0.9240393208221628,0.1315728363672152,0.1403284387246098,0.0828868012240328,0.0822416809362098,0.0685087354127402,0.143842231503227,0.0603886902387831,0.0839318408665465,0.1241574294098044,0.0784659011996438,0.1080024860746771,0.1202479483284804,0.4411764705882353,6.3886886,34,34.0,1,0,2.8,1.4,neutral,1,0.0,Fashion,0
normal,0,0,0,1,156.60511363636363,0.0684492066502571,0.0224512945860624,2264.6149730887732,798.2916564171944,3130.8299696089643,582.5868697209625,0.9975186104218362,0.0736157825452106,0.0957788287592087,0.0644836053499226,0.0894880269944084,0.0587417839997942,0.0882403283164643,0.0530132486301078,0.0436617916411064,0.096331388383444,0.0513078295032999,0.0684967006811913,0.0622131388313728,0.0,15.708682,13,13.0,1,0,2.0,1.0,angry,1,0.0,Fashion,0
top,1,0,0,1,105.46875,0.004370748065412,0.0164485927671194,3339.935198895811,1064.6923262059242,3535.702150838065,1073.5626713551385,0.4842300556586271,0.08410811155632,0.0858785626406282,0.0862482460152285,0.0831917068256105,0.08336950438322,0.0822288278051913,0.0975185548017015,0.1000094118202942,0.1071531332998659,0.0798927335956371,0.0780738151213073,0.0802796676085472,0.0,5.349029,17,17.0,1,0,6.4,1.0,neutral,1,0.0,Prank,1
